"First Author";"Last Author";"Title";"Citation Count";"Publikationsjahr";"Oxford Evidence Level";"Impact Factor";"Journal";"Abstract";"Citation Trend";"Autoren";"Studiendesign/Studienart";"Methdische Qualität";"Tumor Entität";"Präregestriert";"Metanalayse"
"Ari VanderWalde";"Antoni Ribas";"Ipilimumab with or without nivolumab in PD-1 or PD-L1 blockade refractory metastatic melanoma: a randomized phase 2 trial";"101";"2023";"2b";"50.0";"Nature Medicine";"In this randomized phase 2 trial, blockade of cytotoxic T-lymphocyte protein 4 (CTLA-4) with continuation of programmed death protein 1 (PD-1) blockade in patients with metastatic melanoma who had received front-line anti-PD-1 or therapy against programmed cell death 1 ligand 1 and whose tumors progressed was tested in comparison with CTLA-4 blockade alone. Ninety-two eligible patients were randomly assigned in a 3:1 ratio to receive the combination of ipilimumab and nivolumab, or ipilimumab alone. The primary endpoint was progression-free survival. Secondary endpoints included the difference in CD8 T cell infiltrate among responding and nonresponding tumors, objective response rate, overall survival and toxicity. The combination of nivolumab and ipilimumab resulted in a statistically significant improvement in progression-free survival over ipilimumab (hazard ratio = 0.63, 90% confidence interval (CI) = 0.41–0.97, one-sided P = 0.04). Objective response rates were 28% (90% CI = 19–38%) and 9% (90% CI = 2–25%), respectively (one-sided P = 0.05). Grade 3 or higher treatment-related adverse events occurred in 57% and 35% of patients, respectively, which is consistent with the known toxicity profile of these regimens. The change in intratumoral CD8 T cell density observed in the present analysis did not reach statistical significance to support the formal hypothesis tested as a secondary endpoint. In conclusion, primary resistance to PD-1 blockade therapy can be reversed in some patients with the combination of CTLA-4 and PD-1 blockade. ";"";"1";"Randomized Phase 2 clinical trial";"";"Metastatic cutaneous melanoma";"";""
"Paolo Antonio Ascierto ";"Jean-Jacques Grob";"Nivolumab and relatlimab in patients with advanced melanoma that had progressed on anti-programmed death-1/programmed death ligand 1 therapy: results from the phase I/IIa RELATIVITY-020 trial";"106";"2023";"2b";"41.9";"Journal of Clinical Oncology";"Purpose Nivolumab and relatlimab activity in advanced melanoma with prior progression on anti–programmed death-1/programmed death ligand 1 (PD-(L)1)-containing regimens is under investigation. RELATIVITY-047 demonstrated significantly improved progression-free survival (PFS) for nivolumab and relatlimab over nivolumab in previously untreated advanced melanoma. Methods The phase I/IIa, open-label RELATIVITY-020 trial part D assessed efficacy and safety of nivolumab and relatlimab in advanced melanoma with progression during, or within 3 months of, 1 (D1) or ≥ 1 (D2) anti–PD-(L)1-containing regimens. Safety was a primary end point. Objective response rate (coprimary end point) and PFS by blinded independent central review (BICR) were assessed. Results Five hundred eighteen patients (D1 = 354; D2 = 164) received nivolumab and relatlimab. Among evaluable patients, the objective response rate by BICR was 12.0% (95% CI, 8.8 to 15.8) in D1 (n = 351) and 9.2% (95% CI, 5.2 to 14.7) in D2 (n = 163). Responses appeared to be enriched among patients with tumors expressing programmed death ligand 1 or lymphocyte activation gene 3; however, responses were observed regardless of programmed death ligand 1 and lymphocyte activation gene 3 expression (1%). The median duration of response was not reached (95% CI, 12.9 to not reached) in D1 and 12.8 months (95% CI, 6.9 to 12.9) in D2. The median PFS by BICR was 2.1 months (95% CI, 1.9 to 3.5) in D1 and 3.2 months (95% CI, 1.9 to 3.6) in D2; the 6-month PFS rate was 29.1% (95% CI, 24.2 to 34.1) and 27.7% (95% CI, 20.5 to 35.4), respectively. The grade 3-4 treatment-related adverse event incidence was 15.0% in D1 and 12.8% in D2. One case of grade 3 myocarditis and no treatment-related deaths occurred across part D. Conclusion Nivolumab and relatlimab had a manageable safety profile and demonstrated durable clinical activity in a proportion of patients with heavily pretreated advanced melanoma with prior progression on anti–PD-(L)1-containing regimens.";"";"1";"Phase I/IIa, open-label clinical trial";"";"Advanced (metastatic) cutaneous melanoma";"";""
"Ana Arance";" Long GV";"Phase II LEAP-004 study of lenvatinib plus pembrolizumab for melanoma with confirmed progression on a programmed cell death protein-1 or programmed death ligand 1 inhibitor given as monotherapy or in combination";"71";"2022";"2b";"41.9";"Journal of Clinical Oncology";"Purpose: Effective treatments are needed for melanoma that progresses on inhibitors of programmed cell death protein-1 (PD-1) or its ligand (PD-L1). We conducted the phase II LEAP-004 study to evaluate the combination of the multikinase inhibitor lenvatinib and the PD-1 inhibitor pembrolizumab in this population (ClinicalTrials.gov identifier: NCT03776136). Methods Eligible patients with unresectable stage III-IV melanoma with confirmed progressive disease (PD) within 12 weeks of the last dose of a PD-1/L1 inhibitor given alone or with other therapies, including cytotoxic T-cell lymphocyte-associated antigen 4 (CTLA-4) inhibitors, received lenvatinib 20 mg orally once daily plus ≤ 35 doses of pembrolizumab 200 mg intravenously once every 3 weeks until PD or unacceptable toxicity. The primary end point was objective response rate (ORR) per RECIST, version 1.1, by independent central review. Results A total of 103 patients were enrolled and treated. The median study follow-up was 15.3 months. ORR in the total population was 21.4% (95% CI, 13.9 to 30.5), with three (2.9%) complete responses and 19 (18.4%) partial responses. The median duration of response was 8.3 months (range, 3.2-15.9+). ORR was 33.3% in the 30 patients with PD on prior anti-PD-1 plus anti-CTLA-4 therapy. The median progression-free survival and overall survival in the total population were 4.2 months (95% CI, 3.8 to 7.1) and 14.0 months (95% CI, 10.8 to not reached), respectively. Grade 3-5 treatment-related adverse events occurred in 47 (45.6%) patients, most commonly hypertension (21.4%); one patient died from a treatment-related event (decreased platelet count). Conclusion Lenvatinib plus pembrolizumab provides clinically meaningful, durable responses in patients with advanced melanoma with confirmed PD on prior PD-1/L1 inhibitor-based therapy, including those with PD on anti-PD-1 plus anti-CTLA-4 therapy. The safety profile was as expected. These data support lenvatinib plus pembrolizumab as a potential regimen for this population of high unmet need.";"";"1";"Phase II, single-arm clinical trial";"";"Advanced (unresectable stage III-IV) cutaneous melanoma";"";""
"Maartje W Rohaan";"John B A G Haanen";"Tumor-infiltrating lymphocyte therapy or ipilimumab in advanced melanoma";"415";"2022";"1b";"78.5";"New England Journal of Medicine";"Background: Immune checkpoint inhibitors and targeted therapies have dramatically improved outcomes in patients with advanced melanoma, but approximately half these patients will not have a durable benefit. Phase 1-2 trials of adoptive cell therapy with tumor-infiltrating lymphocytes (TILs) have shown promising responses, but data from phase 3 trials are lacking to determine the role of TILs in treating advanced melanoma. Methods: In this phase 3, multicenter, open-label trial, we randomly assigned patients with unresectable stage IIIC or IV melanoma in a 1:1 ratio to receive TIL or anti-cytotoxic T-lymphocyte antigen 4 therapy (ipilimumab at 3 mg per kilogram of body weight). Infusion of at least 5×109 TILs was preceded by nonmyeloablative, lymphodepleting chemotherapy (cyclophosphamide plus fludarabine) and followed by high-dose interleukin-2. The primary end point was progression-free survival. Results: A total of 168 patients (86% with disease refractory to anti-programmed death 1 treatment) were assigned to receive TILs (84 patients) or ipilimumab (84 patients). In the intention-to-treat population, median progression-free survival was 7.2 months (95% confidence interval [CI], 4.2 to 13.1) in the TIL group and 3.1 months (95% CI, 3.0 to 4.3) in the ipilimumab group (hazard ratio for progression or death, 0.50; 95% CI, 0.35 to 0.72; P<0.001); 49% (95% CI, 38 to 60) and 21% (95% CI, 13 to 32) of the patients, respectively, had an objective response. Median overall survival was 25.8 months (95% CI, 18.2 to not reached) in the TIL group and 18.9 months (95% CI, 13.8 to 32.6) in the ipilimumab group. Treatment-related adverse events of grade 3 or higher occurred in all patients who received TILs and in 57% of those who received ipilimumab; in the TIL group, these events were mainly chemotherapy-related myelosuppression. Conclusions: In patients with advanced melanoma, progression-free survival was significantly longer among those who received TIL therapy than among those who received ipilimumab.";"";"1";"Phase 3, multicenter, open-label, randomized controlled trial (RCT)";"";"Advanced (unresectable stage IIIC or IV) cutaneous melanoma";"";""
"Amod A Sarnaik";"Jason A Chesney ";"Lifileucel, a tumor-infiltrating lymphocyte therapy, in metastatic melanoma";"362";"2021";"2b";"41.9";"Journal of Clinical Oncology";"Purpose: Effective treatment options are limited for patients with advanced (metastatic or unresectable) melanoma who progress after immune checkpoint inhibitors and targeted therapies. Adoptive cell therapy using tumor-infiltrating lymphocytes has demonstrated efficacy in advanced melanoma. Lifileucel is an autologous, centrally manufactured tumor-infiltrating lymphocyte product. Methods: We conducted a phase II open-label, single-arm, multicenter study in patients with advanced melanoma who had been previously treated with checkpoint inhibitor(s) and BRAF ± MEK targeted agents. Lifileucel was produced from harvested tumor specimens in central Good Manufacturing Practice facilities using a streamlined 22-day process. Patients received a nonmyeloablative lymphodepletion regimen, a single infusion of lifileucel, and up to six doses of high-dose interleukin-2. The primary end point was investigator-assessed objective response rate (ORR) per RECIST, version 1.1. Results: Sixty-six patients received a mean of 3.3 prior therapies (anti-programmed death 1 [PD-1] or programmed death ligand 1 [PD-L1]: 100%; anticytotoxic T-lymphocyte-associated protein-4: 80%; BRAF ± MEK inhibitor: 23%). The ORR was 36% (95% CI, 25 to 49), with two complete responses and 22 partial responses. Disease control rate was 80% (95% CI, 69 to 89). Median duration of response was not reached after 18.7-month median study follow-up (range, 0.2-34.1 months). In the primary refractory to anti-PD-1 or PD-L1 therapy subset, the ORR and disease control rate were 41% (95% CI, 26 to 57) and 81% (95% CI, 66 to 91), respectively. Safety profile was consistent with known adverse events associated with nonmyeloablative lymphodepletion and interleukin-2. Conclusion: Lifileucel demonstrated durable responses and addresses a major unmet need in patients with metastatic melanoma with limited treatment options after approved therapy, including the primary refractory to anti-PD-1 or PD-L1 therapy subset. ";"";"1";"Phase II, open-label, single-arm, multicenter clinical trial";"";"Advanced (metastatic or unresectable) cutaneous melanoma";"";""
"Lisa Zimmer";"Nikhil I Khushalani";"Ipilimumab alone or in combination with nivolumab after progression on anti-PD-1 therapy in advanced melanoma";"201";"2017";"2b";"7.1";"European Journal of Cancer";"Background: The anti-programmed cell death-1 (PD-1) inhibitors pembrolizumab and nivolumab alone or in combination with ipilimumab have shown improved objective response rates and progression-free survival compared to ipilimumab only in advanced melanoma patients. Anti-PD-1 therapy demonstrated nearly equal clinical efficacy in patients who had progressed after ipilimumab or were treatment-naïve. However, only limited evidence exists regarding the efficacy of ipilimumab alone or in combination with nivolumab after treatment failure to anti-PD-therapy. Patients and methods: A multicenter retrospective study in advanced melanoma patients who were treated with nivolumab (1 or 3 mg/kg) and ipilimumab (1 mg or 3 mg/kg) or ipilimumab (3 mg/kg) alone after treatment failure to anti-PD-1 therapy was performed. Patient, tumour, pre- and post-treatment characteristics were analysed. Results: In total, 47 patients were treated with ipilimumab (ipi-group) and 37 patients with ipilimumab and nivolumab (combination-group) after treatment failure to anti-PD-1 therapy. Overall response rates for the ipi- and the combination-group were 16% and 21%, respectively. Disease control rate was 42% for the ipi-group and 33% for the combination-group. One-year overall survival rates for the ipi- and the combination-group were 54% and 55%, respectively. Conclusions: Ipilimumab should be considered as a viable treatment option for patients with failure to prior anti-PD-1 therapy, including those with progressive disease as best response to prior anti-PD-1. In contrast, the combination of ipilimumab and nivolumab appears significantly less effective in this setting compared to treatment-naïve patients.";"";"1";"Multicenter retrospective cohort study";"";"Advanced cutaneous melanoma";"";""
"James P Pham";"Simone M Goldinger";"Chemotherapy in cutaneous melanoma: is there still a role?";"39";"2023";"5";"5.0";"Current Oncology Reports";"Purpose of review: In the preceding decade, the management of metastatic cutaneous melanoma has been revolutionised with the development of highly effective therapies including immune checkpoint inhibitors (specifically CTLA-4 and PD-1 inhibitors) and targeted therapies (BRAF and MEK inhibitors). The role of chemotherapy in the contemporary management of melanoma is undefined. Recent findings: Extended analyses highlight substantially improved 5-year survival rates of approximately 50% in patients with metastatic melanoma treated with first-line therapies. However, most patients will progress on these first-line treatments. Sequencing of chemotherapy following failure of targeted and immunotherapies is associated with low objective response rates and short progression-free survival, and thus, meaningful benefits to patients are minimal. Chemotherapy has limited utility in the contemporary management of cutaneous melanoma (with a few exceptions, discussed herein) and should not be the standard treatment sequence following failure of first-line therapies. Instead, enrolment onto clinical trials should be standard-of-care in these patients.";"";"1";"Narrative review / Expert opinion";"";"Metastatic cutaneous melanoma";"";""
"Simone M Goldinger";"Alexander M Menzies ";"Chemotherapy after immune checkpoint inhibitor failure in metastatic melanoma: a retrospective multicentre analysis";"49";"2022";"2b";"7.1";"European Journal of Cancer";"Introduction: Despite remarkably improved outcomes with immune checkpoint inhibition, many patients with metastatic melanoma will eventually require further therapy. Chemotherapy has limited activity when used first-line but can alter the tumour microenvironment and does improve efficacy when used in combination with immunotherapy in lung cancer. Whether chemotherapy after checkpoint inhibitor failure has relevant activity in patients with metastatic melanoma is unknown. Methods: Patients with metastatic melanoma treated with chemotherapy after progression on immunotherapy with checkpoint inhibitors were identified retrospectively from 24 melanoma centres. Objective response rate (ORR), progression-free survival (PFS), overall survival (OS) and safety were examined. Results: In total, 463 patients were treated between 2007 and 2017. Fifty-six per cent had received PD-1-based therapy before chemotherapy. Chemotherapy regimens included carboplatin + paclitaxel (32%), dacarbazine (25%), temozolomide (15%), taxanes (9%, nab-paclitaxel 4%), fotemustine (6%) and others (13%). Median duration of therapy was 7.9 weeks (0-108). Responses included 0.4% complete response (CR), 12% partial response (PR), 21% stable disease (SD) and 67% progressive disease (PD). Median PFS was 2.6 months (2.2, 3.0), and median PFS in responders was 8.7 months (6.3, 16.3), respectively. Twelve-month PFS was 12% (95% CI 2-15%). In patients who had received anti-PD-1 before chemotherapy, the ORR was 11%, and median PFS was 2.5 months (2.1, 2.8). The highest activity was achieved with single-agent taxanes (N = 40), with ORR 25% and median PFS 3.9 months (2.1, 6.2). Median OS from chemotherapy start was 7.1 months (6.5, 8.0). Subsequent treatment with checkpoint inhibitors achieved a response rate of 16% with a median PFS of 19.1 months (2.0-43.1 months). No unexpected toxicities were observed. Conclusion: Chemotherapy has a low response rate and short PFS in patients with metastatic melanoma who have failed checkpoint inhibitor therapy, although activity varied between regimens. Chemotherapy has a limited role in the management of metastatic melanoma.";"";"1";"Multicenter retrospective cohort study";"";"Metastatic cutaneous melanoma";"";""
